codigo de articulo ;codigo de barras ;Nombre de producto;Departamento;Categoria
10332;7790520985910;MR.MUSCULO PREL OXY GAT X500;LIMPIEZA;COCINA
60866;60866;P/H ECOLOGICO X30MTS;LIMPIEZA;PAPELES
23061;7791070005349;P/H.CAMPANITA D/H 4X50M;LIMPIEZA;PAPELES
23062;7791070000696;P/H.CAMPANITA ECOLOGICO 4X30M;LIMPIEZA;PAPELES
23059;7791070005110;P/H.CAMPANITA PREM 4X80M;LIMPIEZA;PAPELES
10023;7798130889796;P/H.CAUTIVA NATURAL 24X1UX30MT;LIMPIEZA;PAPELES
18857;18857;P/H.SCOTT MEGA S/H X4X80M;LIMPIEZA;PAPELES
10184;7790528005221;PAÑO MULTIUSO CORAL 1X35X40CM.;LIMPIEZA;COCINA
9802;7793253011604;POETT BLOQUE FULL X32G;LIMPIEZA;BAÑO
9800;7793253011611;POETT BLOQUE REFILL X32G.;LIMPIEZA;BAÑO
9710;9710;POETT ESP-JOVEN X1,8;LIMPIEZA;PISOS
57542;57542;POETT PRIMAVERA 3X4000ML;LIMPIEZA;PISOS
10298;7793350000211;POMADA WASS LIQ.NGO X60;LIMPIEZA;MUEBLES METALES Y POMADAS
9718;7791130006514;PROCENEX DESEN.NJA D/P X500;LIMPIEZA;COCINA
10117;7793344004300;R/C DICHA X3UX50PAÑOS;LIMPIEZA;PAPELES
17644;7790520019233;RAID ADVANCE REP.30 NOCHE X6U;LIMPIEZA;INSECTICIDAS
19473;7790520010087;RAID APARATO P/TABL. C/CABLE;LIMPIEZA;INSECTICIDAS
52704;7790520010025;RAID TABLETAS X4U;LIMPIEZA;INSECTICIDAS
76786;7790520996312;REPELENTE AERO FUYÍ X170CC;LIMPIEZA;INSECTICIDAS
51765;7790613000285;RESTAURADOR SUIZA NATURAL 200C;LIMPIEZA;PISOS
10077;7790659000201;SECADOR ALUMINIO P/PISO N°40;LIMPIEZA;ACCESORIOS DE LIMPIEZA
23125;7790925000102;SECADOR DE GOMA NEGRO X30CM;LIMPIEZA;ACCESORIOS DE LIMPIEZA
24825;0;SECAVIDRIO INOX ITALIMP 45CM;LIMPIEZA;ACCESORIOS DE LIMPIEZA
